"DR Number","Date Reported","Date Occurred","Time Occurred","Area ID","Area Name","Reporting District","Crime Code","Crime Code Description","MO Codes","Victim Age","Victim Sex","Victim Descent","Premise Code","Premise Description","Weapon Used Code","Weapon Description","Status Code","Crime Code 1","Crime Code 2","Crime Code 3","Crime Code 4","Address","Cross Street","lat","lon"
"172116810","09/13/2017","09/02/2017","1100","21","Topanga","2185","310","BURGLARY","0344 0321","116","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","22400    VENIDO                       RD","","34.1614","-118.6136"
"172116812","09/14/2017","09/14/2017","1005","21","Topanga","2161","310","BURGLARY","0344 0321 1609","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","5700    FAIRHAVEN                    AV","","34.1731","-118.658"
"172116920","09/17/2017","09/16/2017","1700","21","Topanga","2185","310","BURGLARY","1607 0321","117","","","218","BEAUTY/BARBER SHOP","","","IC","310","","","","22100    VENTURA                      BL","","34.1686","-118.6081"
"172117047","09/19/2017","09/18/2017","2000","21","Topanga","2187","310","BURGLARY","1609 0329","117","","","244","TOBACCO SHOP","","","IC","310","","","","21000    VENTURA                      BL","","34.1667","-118.5908"
"172117048","09/19/2017","09/18/2017","2000","21","Topanga","2187","310","BURGLARY","0344 0375 1609","117","","","210","RESTAURANT/FAST FOOD","","","IC","310","","","","21600    VENTURA                      BL","","34.1682","-118.5998"
"172117121","09/20/2017","09/19/2017","1900","21","Topanga","2185","310","BURGLARY","0325 1607","117","","","203","OTHER BUSINESS","","","IC","310","","","","22000    VENTURA                      BL","","34.1685","-118.6058"
"172117168","09/20/2017","09/20/2017","1330","21","Topanga","2172","310","BURGLARY","0344","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","24000    MARIANO                      ST","","34.1662","-118.6494"
"172117220","09/22/2017","09/22/2017","0430","21","Topanga","2187","310","BURGLARY","1609","117","","","210","RESTAURANT/FAST FOOD","","","IC","310","","","","20900    VENTURA                      BL","","34.1664","-118.5883"
"172117245","09/22/2017","09/21/2017","1830","21","Topanga","2162","310","BURGLARY","1202 0321 0344","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","5800    WOODLAKE                     AV","","34.1756","-118.6321"
"172117301","09/23/2017","09/23/2017","0301","21","Topanga","2155","310","BURGLARY","0325 1606 0339","117","","","406","OTHER STORE","","","IC","310","","","","6200    TOPANGA CANYON               BL","","34.1828","-118.6102"
"172117320","09/24/2017","09/24/2017","0424","21","Topanga","2155","310","BURGLARY","0344 1609","117","","","210","RESTAURANT/FAST FOOD","","","IC","310","","","","6200    TOPANGA CANYON               BL","","34.1828","-118.6102"
"172117397","09/25/2017","09/22/2017","1700","21","Topanga","2177","310","BURGLARY","0344","117","","","203","OTHER BUSINESS","","","IC","310","","","","20900    WARNER CENTER                LN","","34.1747","-118.5886"
"172117402","09/26/2017","09/26/2017","0544","21","Topanga","2175","310","BURGLARY","0344 1609","117","","","203","OTHER BUSINESS","","","IC","310","","","","22600    VENTURA                      BL","","34.1675","-118.6189"
"172117412","09/26/2017","09/26/2017","0142","21","Topanga","2187","310","BURGLARY","1609","117","","","210","RESTAURANT/FAST FOOD","","","IC","310","","","","20900    VENTURA                      BL","","34.1664","-118.5883"
"172117470","09/28/2017","09/28/2017","0333","21","Topanga","2161","310","BURGLARY","0344 0314","117","","","707","GARAGE/CARPORT","","","IC","310","","","","5500    EL CANON                     AV","","34.1791","-118.6532"
"172117629","10/01/2017","09/30/2017","2030","21","Topanga","2187","310","BURGLARY","1609 0344","117","","","218","BEAUTY/BARBER SHOP","","","IC","310","","","","5300    TOPANGA CANYON               BL","","34.166","-118.6058"
"172117630","10/01/2017","10/01/2017","0440","21","Topanga","2175","310","BURGLARY","0375 0324 1609","117","","","210","RESTAURANT/FAST FOOD","","","IC","310","","","","22400    VENTURA                      BL","","34.1688","-118.6145"
"172117652","10/01/2017","09/30/2017","2030","21","Topanga","2175","310","BURGLARY","1610 0344","117","","","244","TOBACCO SHOP","","","IC","310","","","","22700    VENTURA                      BL","","34.1669","-118.6207"
